166547114238	298.9	318.6
166423353436	272.8	1385.9
166556915853	68.8	443.6
166434728749	4.6	817.3
166544742252	113.2	837.4
166827395761	34.3	1908.5
166917847616	277.5	79.8
166528757061	42.2	1199.2
166809774605	277	694
166434676621	276.9	1404
166412957510	124.5	1436.2
166816971422	96	1617.4
166413097255	273.4	210
166925738202	62.6	1897.8
166686379221	204.6	1875.8
166751629866	184.2	1480.1
166662880271	231	1266.3
166412838584	289	644.2
166814470726	122.5	1363.5
166920758627	268	151.2
166631924613	188.6	1168.8
166818587922	114	725.5
166713172586	87.3	283.8
166713458375	183.7	1945.3
166712252207	22.4	1393.5
166920837514	165.9	1643.3
166728577083	182	578.9
166450197279	201.5	1520.1
166412353009	147.3	1384.7
166816971118	219	766
166437500416	297.1	79.1
166798891320	73.9	1072.1
166827380921	239.1	298.3
166532671255	92.5	547.1
166670000719	62	188.9
166631877248	85.5	750.3
166450182311	297.8	359.2
166751459237	284.1	378.5
166580894447	57.3	170.5
166795135915	271.4	38.7
166827107589	67.4	1988.3
166549523324	251.7	271.4
166999848343	98.5	1761.9
166818522854	171.6	778.9
166920768701	60.2	1423.2
166818379870	34.7	443.3
166999868596	186.9	683.6
166016940506	167	1631
166818567255	129.2	494.1
166925662063	116.4	955.1
166600421937	284.7	1627.4
166751516347	160.6	407.3
166816972525	244.2	1699.6
166015244376	247.8	1933.4
166751622590	263.7	754.4
